Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
2851873	2821020	5.565999985	2.180999994	-0.9210000038	6.040999889	8.142000198	6.705999851	4.125	5.789999962	7.974999905	6.649000168	3.910000086
2851893	2821040	5.585999966	2.194000006	-0.8560000062	6.065999985	8.130000114	6.669000149	4.092000008	5.809000015	8.005000114	6.603000164	3.900000095
2851913	2821060	5.589000225	2.209000111	-0.7360000014	6.022999763	8.097999573	6.649000168	4.122000217	5.789999962	7.994999886	6.656000137	3.891000032
2851933	2821080	5.609000206	2.233999968	-0.8550000191	6.09499979	8.12100029	6.598999977	4.140999794	5.888000011	8.079000473	6.541999817	3.903000116
2851953	2821100	5.625	2.253000021	-0.6899999976	6.072999954	8.128000259	6.552999973	4.150000095	5.852000237	8.032999992	6.579999924	3.895999908
2851973	2821120	5.631999969	2.26699996	-0.47299999	6.059000015	8.079000473	6.551000118	4.083000183	5.835999966	8.074000359	6.576000214	3.898000002
2851993	2821140	5.679999828	2.269000053	-0.7379999757	6.15199995	8.248999596	6.495999813	4.125	5.859000206	8.057999611	6.510000229	3.872999907
2852013	2821160	5.673999786	2.26699996	-0.7820000052	6.077000141	8.166999817	6.571000099	4.165999889	5.84499979	8.020999908	6.539000034	3.823999882
2852033	2821180	5.662000179	2.243999958	-0.9779999852	6.081999779	8.187999725	6.677999973	4.133999825	5.881000042	8.06099987	6.56400013	3.839999914
2852053	2821200	5.664999962	2.269000053	-0.6399999857	6.092999935	8.116000175	6.519000053	4.140999794	5.890999794	8.055999756	6.551000118	3.849999905
2852073	2821220	5.659999847	2.257999897	-0.8069999814	6.06799984	8.166999817	6.610000134	4.140999794	5.934000015	8.062999725	6.502999783	3.828999996
2852093	2821240	5.657000065	2.269999981	-0.9169999957	6.147999763	8.086000443	6.614999771	4.073999882	5.906000137	8.055999756	6.505000114	3.832999945
2852113	2821260	5.672999859	2.252000093	-0.9419999719	6.140999794	8.204000473	6.632999897	4.076000214	5.962999821	8.055999756	6.513999939	3.826999903
2852133	2821280	5.681000233	2.263999939	-1.116000056	6.06400013	8.130000114	6.488999844	4.054999828	5.93200016	8.041999817	6.485000134	3.839999914
2852153	2821300	5.684000015	2.275000095	-0.7580000162	6.125	8.142000198	6.541999817	4.114999771	5.94299984	8.112000465	6.495999813	3.854000092
2852173	2821320	5.693999767	2.299999952	-0.6320000291	6.164000034	8.095000267	6.488999844	4.061999798	6.006999969	8.090999603	6.482999802	3.872999907
2852193	2821340	5.710999966	2.305999994	-0.69599998	6.18200016	8.144000053	6.498000145	4.051000118	5.967999935	8.053999901	6.471000195	3.91899991
2852213	2821360	5.722000122	2.311000109	-0.5310000181	6.164000034	8.135000229	6.480000019	4.032000065	5.979000092	8.036999702	6.464000225	3.845000029
2852233	2821380	5.722000122	2.318000078	-0.9100000262	6.202000141	8.131999969	6.53000021	4.097000122	5.960999966	8.057999611	6.415999889	3.839999914
2852253	2821400	5.744999886	2.306999922	-0.7670000196	6.211999893	8.211000443	6.502999783	4.03399992	6.039000034	8.164999962	6.34800005	3.835999966
2852273	2821420	5.736999989	2.309000015	-0.7639999986	6.190999985	8.116000175	6.537000179	4.018000126	6.011000156	8.069999695	6.394000053	3.779999971
2852293	2821440	5.749000072	2.311000109	-0.7020000219	6.211999893	8.163000107	6.492000103	4.015999794	5.993000031	8.062999725	6.409999847	3.792000055
2852313	2821460	5.761000156	2.321000099	-0.621999979	6.230000019	8.138999939	6.460000038	3.993000031	6.019999981	8.083999634	6.360000134	3.789999962
2852333	2821480	5.782000065	2.328000069	-0.7519999743	6.277999878	8.171999931	6.460000038	3.980999947	6.025000095	8.027999878	6.349999905	3.782999992
2852353	2821500	5.801000118	2.326999903	-0.6919999719	6.265999794	8.208999634	6.443999767	3.990999937	6.022999763	8.032999992	6.356999874	3.805999994
2852373	2821520	5.803999901	2.332000017	-0.6409999728	6.238999844	8.180999756	6.43200016	4.025000095	5.987999916	8.156000137	6.356999874	3.79399991
2852393	2821540	5.800000191	2.351000071	-0.6299999952	6.256999969	8.119000435	6.415999889	4.013999939	6.015999794	8.06099987	6.336999893	3.796999931
2852413	2821560	5.80700016	2.358999968	-0.6430000067	6.277999878	8.144000053	6.419000149	3.983999968	6.011000156	8.163000107	6.328000069	3.823999882
2852433	2821580	5.822000027	2.369999886	-0.7549999952	6.311999798	8.178999901	6.388999939	4.027999878	6.070000172	8.218000412	6.262000084	3.786999941
2852453	2821600	5.831999779	2.378999949	-0.6740000248	6.30700016	8.170000076	6.377999783	4.008999825	6.053999901	8.104999542	6.263999939	3.773000002
2852473	2821620	5.842999935	2.375999928	-0.5830000043	6.296000004	8.190999985	6.377999783	3.986000061	6.053999901	8.156000137	6.28000021	3.770999908
2852493	2821640	5.863999844	2.388999939	-0.57099998	6.343999863	8.197999954	6.321000099	3.986000061	6.045000076	8.265000343	6.287000179	3.753000021
2852513	2821660	5.867000103	2.404999971	-0.8439999819	6.353000164	8.18599987	6.346000195	4.076000214	6.092999935	8.184000015	6.28000021	3.763999939
2852533	2821680	5.862999916	2.428999901	-0.7680000067	6.349999905	8.135000229	6.315999985	4.078000069	6.050000191	8.149000168	6.290999889	3.75
2852553	2821700	5.874000072	2.453999996	-0.9079999924	6.43200016	8.131999969	6.311999798	4.039000034	6.092999935	8.145999908	6.252999783	3.755000114
2852573	2821720	5.875999928	2.473999977	-0.8069999814	6.385000229	8.142000198	6.270999908	4.112999916	6.09499979	8.164999962	6.217999935	3.71600008
2852593	2821740	5.900000095	2.473999977	-0.8299999833	6.43200016	8.208999634	6.277999878	4.039000034	6.168000221	8.184000015	6.265999794	3.762000084
